300, 0.04212, 0.005
600, 0.02444, 0.005
900, 0.02237, 0.005
1200, 0.02111, 0.005
1500, 0.01963, 0.005
1800, 0.01861, 0.005
2100, 0.01749, 0.005
2400, 0.01643, 0.005
2700, 0.01560, 0.005
3000, 0.01485, 0.005
3300, 0.01416, 0.005
3600, 0.01352, 0.005
3900, 0.01264, 0.005
4200, 0.01232, 0.005
4500, 0.01208, 0.005
4800, 0.01131, 0.005
5100, 0.01103, 0.005
5400, 0.01078, 0.005
5700, 0.01068, 0.005
6000, 0.01040, 0.005
6300, 0.01013, 0.005
6600, 0.00958, 0.005
6900, 0.00938, 0.005
7200, 0.00912, 0.005
7500, 0.00908, 0.005
7800, 0.00843, 0.005
8100, 0.00864, 0.005
8400, 0.00854, 0.005
8700, 0.00828, 0.005
9000, 0.00804, 0.005
9300, 0.00792, 0.005
9600, 0.00764, 0.005
9900, 0.00788, 0.005
10200, 0.00937, 0.02
10500, 0.00971, 0.02
10800, 0.00878, 0.02
11100, 0.00848, 0.02
11400, 0.00796, 0.02
11700, 0.00768, 0.02
12000, 0.00755, 0.02
12300, 0.00687, 0.02
12600, 0.00668, 0.02
12900, 0.00643, 0.02
13200, 0.00612, 0.02
13500, 0.00601, 0.02
13800, 0.00591, 0.02
14100, 0.00573, 0.02
14400, 0.00556, 0.02
14700, 0.00563, 0.02
15000, 0.00544, 0.02
